id,work_province,work_dedication,salary_monthly_BRUTO,salary_monthly_NETO,profile_studies_level,profile_age,profile_gender,lenguaje_programacion,profile_years_experience
519,Ciudad Autónoma de Buenos Aires,Full-Time,500000,390000,NA,25,Varón Cis,html,8
519,Ciudad Autónoma de Buenos Aires,Full-Time,500000,390000,NA,25,Varón Cis,javascript,8
519,Ciudad Autónoma de Buenos Aires,Full-Time,500000,390000,NA,25,Varón Cis,php,8
519,Ciudad Autónoma de Buenos Aires,Full-Time,500000,390000,NA,25,Varón Cis,python,8
519,Ciudad Autónoma de Buenos Aires,Full-Time,500000,390000,NA,25,Varón Cis,sql,8
519,Ciudad Autónoma de Buenos Aires,Full-Time,500000,390000,NA,25,Varón Cis,swift,8
520,Ciudad Autónoma de Buenos Aires,Full-Time,1250000,1100000,Secundario,35,Varón Cis,html,2
521,Ciudad Autónoma de Buenos Aires,Full-Time,160000,160000,Terciario,37,Varón Cis,ninguno de los anteriores,8
522,Ciudad Autónoma de Buenos Aires,Full-Time,750000,500000,NA,38,Varón Cis,bash/shell,10
522,Ciudad Autónoma de Buenos Aires,Full-Time,750000,500000,NA,38,Varón Cis,python,10
523,Ciudad Autónoma de Buenos Aires,Full-Time,134465,110730,Universitario,24,Varón Cis,bash/shell,5
524,Ciudad Autónoma de Buenos Aires,Full-Time,556000,400000,NA,37,Varón Cis,python,8
524,Ciudad Autónoma de Buenos Aires,Full-Time,556000,400000,NA,37,Varón Cis,sql,8
525,Ciudad Autónoma de Buenos Aires,Full-Time,89000,135000,Terciario,30,Varón Cis,css,2
525,Ciudad Autónoma de Buenos Aires,Full-Time,89000,135000,Terciario,30,Varón Cis,html,2
525,Ciudad Autónoma de Buenos Aires,Full-Time,89000,135000,Terciario,30,Varón Cis,sql,2
526,Ciudad Autónoma de Buenos Aires,Full-Time,196385,225000,Terciario,33,Varón Cis,css,1.5
526,Ciudad Autónoma de Buenos Aires,Full-Time,196385,225000,Terciario,33,Varón Cis,html,1.5
526,Ciudad Autónoma de Buenos Aires,Full-Time,196385,225000,Terciario,33,Varón Cis,javascript,1.5
526,Ciudad Autónoma de Buenos Aires,Full-Time,196385,225000,Terciario,33,Varón Cis,php,1.5
526,Ciudad Autónoma de Buenos Aires,Full-Time,196385,225000,Terciario,33,Varón Cis,sql,1.5
527,Ciudad Autónoma de Buenos Aires,Full-Time,590000,450000,NA,41,Varón Cis,bash/shell,23
527,Ciudad Autónoma de Buenos Aires,Full-Time,590000,450000,NA,41,Varón Cis,java,23
527,Ciudad Autónoma de Buenos Aires,Full-Time,590000,450000,NA,41,Varón Cis,javascript,23
527,Ciudad Autónoma de Buenos Aires,Full-Time,590000,450000,NA,41,Varón Cis,python,23
527,Ciudad Autónoma de Buenos Aires,Full-Time,590000,450000,NA,41,Varón Cis,typescript,23
528,Ciudad Autónoma de Buenos Aires,Full-Time,200000,169000,Universitario,27,Varón Cis,c,5
528,Ciudad Autónoma de Buenos Aires,Full-Time,200000,169000,Universitario,27,Varón Cis,c++,5
529,Ciudad Autónoma de Buenos Aires,Full-Time,835000,529000,Universitario,30,Varón Cis,bash/shell,7
529,Ciudad Autónoma de Buenos Aires,Full-Time,835000,529000,Universitario,30,Varón Cis,html,7
529,Ciudad Autónoma de Buenos Aires,Full-Time,835000,529000,Universitario,30,Varón Cis,javascript,7
529,Ciudad Autónoma de Buenos Aires,Full-Time,835000,529000,Universitario,30,Varón Cis,typescript,7
530,Ciudad Autónoma de Buenos Aires,Full-Time,380000,250000,Universitario,29,Varón Cis,python,5
530,Ciudad Autónoma de Buenos Aires,Full-Time,380000,250000,Universitario,29,Varón Cis,sql,5
531,Ciudad Autónoma de Buenos Aires,Full-Time,4500,4500,NA,31,Varón Cis,css,10
531,Ciudad Autónoma de Buenos Aires,Full-Time,4500,4500,NA,31,Varón Cis,html,10
531,Ciudad Autónoma de Buenos Aires,Full-Time,4500,4500,NA,31,Varón Cis,javascript,10
531,Ciudad Autónoma de Buenos Aires,Full-Time,4500,4500,NA,31,Varón Cis,php,10
531,Ciudad Autónoma de Buenos Aires,Full-Time,4500,4500,NA,31,Varón Cis,sql,10
531,Ciudad Autónoma de Buenos Aires,Full-Time,4500,4500,NA,31,Varón Cis,typescript,10
532,Ciudad Autónoma de Buenos Aires,Full-Time,515000,350000,NA,45,Varón Cis,.net,10
532,Ciudad Autónoma de Buenos Aires,Full-Time,515000,350000,NA,45,Varón Cis,html,10
532,Ciudad Autónoma de Buenos Aires,Full-Time,515000,350000,NA,45,Varón Cis,java,10
532,Ciudad Autónoma de Buenos Aires,Full-Time,515000,350000,NA,45,Varón Cis,javascript,10
532,Ciudad Autónoma de Buenos Aires,Full-Time,515000,350000,NA,45,Varón Cis,python,10
532,Ciudad Autónoma de Buenos Aires,Full-Time,515000,350000,NA,45,Varón Cis,ruby,10
532,Ciudad Autónoma de Buenos Aires,Full-Time,515000,350000,NA,45,Varón Cis,sql,10
532,Ciudad Autónoma de Buenos Aires,Full-Time,515000,350000,NA,45,Varón Cis,vba,10
533,Ciudad Autónoma de Buenos Aires,Full-Time,1170000,0,Universitario,26,Varón Cis,css,3
533,Ciudad Autónoma de Buenos Aires,Full-Time,1170000,0,Universitario,26,Varón Cis,html,3
533,Ciudad Autónoma de Buenos Aires,Full-Time,1170000,0,Universitario,26,Varón Cis,javascript,3
533,Ciudad Autónoma de Buenos Aires,Full-Time,1170000,0,Universitario,26,Varón Cis,ruby,3
534,Ciudad Autónoma de Buenos Aires,Full-Time,740000,440000,NA,32,Varón Cis,.net,20
534,Ciudad Autónoma de Buenos Aires,Full-Time,740000,440000,NA,32,Varón Cis,c#,20
535,Ciudad Autónoma de Buenos Aires,Full-Time,235505,199563,Universitario,26,Varón Cis,bash/shell,5
536,Ciudad Autónoma de Buenos Aires,Full-Time,350000,290000,Universitario,27,Varón Cis,java,4
537,Ciudad Autónoma de Buenos Aires,Full-Time,1425000,780000,Universitario,37,Varón Cis,zoom y excel :),15
538,Ciudad Autónoma de Buenos Aires,Full-Time,319000,230000,Universitario,32,Varón Cis,javascript,8
538,Ciudad Autónoma de Buenos Aires,Full-Time,319000,230000,Universitario,32,Varón Cis,sql,8
539,Ciudad Autónoma de Buenos Aires,Full-Time,220000,183000,NA,32,Varón Cis,css,3
539,Ciudad Autónoma de Buenos Aires,Full-Time,220000,183000,NA,32,Varón Cis,html,3
539,Ciudad Autónoma de Buenos Aires,Full-Time,220000,183000,NA,32,Varón Cis,javascript,3
539,Ciudad Autónoma de Buenos Aires,Full-Time,220000,183000,NA,32,Varón Cis,typescript,3
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,.net,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,bash/shell,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,c,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,c++,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,c#,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,css,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,html,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,javascript,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,kotlin,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,php,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,scala,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,smalltalk,15
540,Ciudad Autónoma de Buenos Aires,Full-Time,480000,340000,NA,35,Varón Cis,sql,15
541,Ciudad Autónoma de Buenos Aires,Full-Time,280000,220000,Universitario,36,Varón Cis,html,10
541,Ciudad Autónoma de Buenos Aires,Full-Time,280000,220000,Universitario,36,Varón Cis,java,10
541,Ciudad Autónoma de Buenos Aires,Full-Time,280000,220000,Universitario,36,Varón Cis,javascript,10
542,Ciudad Autónoma de Buenos Aires,Full-Time,220000,190000,NA,32,Varón Cis,java,4
542,Ciudad Autónoma de Buenos Aires,Full-Time,220000,190000,NA,32,Varón Cis,sql,4
543,Ciudad Autónoma de Buenos Aires,Full-Time,600000,370000,NA,46,Varón Cis,bash/shell,15
